"Time Series - GHGs from Agriculture, in kt CO₂ equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"84,926.98","84,926.98","84,131.04","81,404.16","79,409.42","79,465.42","75,915.23","78,100.89","79,320.66","79,064.99","79,129.02","82,258.00","81,264.18","81,132.92","75,665.49","79,168.84","79,773.26","78,241.31","74,314.74","71,861.85","72,165.02","69,784.02","74,352.72","75,780.02","75,966.97","76,429.62","73,559.27","72,639.84","76,552.45","75,148.80","69,752.77","67,830.81",—,-100.00%
Austria,"8,399.71","8,399.71","8,310.60","7,968.44","8,073.15","8,035.80","8,130.44","7,994.77","7,935.84","7,911.02","7,787.08","7,643.63","7,561.76","7,439.39","7,286.34","7,249.75","7,181.23","7,153.30","7,201.59","7,300.42","7,325.99","7,188.18","7,265.47","7,212.42","7,211.17","7,346.22","7,376.00","7,488.82","7,444.13","7,330.20","7,221.21","7,197.46","7,221.16",-14.03%
Belarus,"29,869.32","29,869.32","28,454.45","25,542.52","24,742.30","21,373.15","20,134.78","20,079.55","20,484.07","20,569.62","18,754.70","18,303.67","18,075.49","17,580.69","18,291.25","18,601.42","19,483.95","19,983.78","19,760.94","20,367.10","20,905.19","20,919.69","21,402.79","21,433.87","21,168.25","20,654.61","20,473.15","20,550.69","20,941.18","20,625.07","20,550.41","21,139.73","21,178.89",-29.09%
Belgium,"11,636.19","11,636.19","11,525.27","11,519.92","11,658.59","11,548.30","11,754.72","11,669.93","11,657.98","11,467.22","11,646.43","10,855.58","10,657.19","10,517.46","10,149.45","10,072.07","9,878.13","9,666.12","9,783.62","9,646.15","9,754.61","9,716.87","9,643.02","9,579.49","9,579.71","9,708.20","9,715.18","9,601.71","9,653.14","9,533.09","9,559.92","9,516.10","9,414.19",-19.10%
Bulgaria,"13,598.73","12,326.28","10,799.15","9,414.88","7,991.27","6,863.79","5,790.41","5,490.79","5,504.85","5,000.16","5,305.66","5,043.34","4,806.37","4,956.34","4,891.04","5,287.64","4,982.79","4,875.53","4,716.45","4,932.18","4,759.75","5,191.00","4,881.61","4,985.00","5,432.20","5,852.05","5,890.94","6,198.09","6,165.52","6,024.91","6,004.04","5,978.19","6,106.34",-55.10%
Canada,"41,139.87","41,139.87","41,316.43","43,165.93","44,259.94","46,068.84","48,126.20","49,140.28","49,393.93","50,056.66","50,138.69","50,960.37","51,395.84","51,326.39","52,768.44","53,594.30","54,147.31","53,230.54","52,881.64","52,479.18","50,480.51","49,517.93","49,128.85","51,075.90","52,713.18","51,251.60","52,277.46","52,947.55","52,087.67","53,488.29","53,617.56","55,491.18","54,243.76",31.85%
Croatia,"4,424.34","4,424.34","4,286.56","3,586.74","3,413.68","3,253.16","3,132.04","3,049.29","3,188.85","2,984.41","3,111.83","3,093.20","3,226.74","3,172.42","3,190.91","3,344.68","3,361.83","3,435.77","3,348.68","3,515.96","3,067.39","3,135.04","3,176.97","3,061.41","2,800.88","2,736.18","2,787.20","2,745.03","2,843.99","2,730.74","2,721.24","2,700.72","2,700.94",-38.95%
Cyprus,454.27,454.27,460.82,491.05,519.19,513.73,543.81,551.12,540.87,543.11,534.53,542.49,585.80,609.53,592.23,572.23,525.08,530.70,529.07,507.69,500.09,514.43,506.48,483.33,448.83,436.90,441.52,462.04,475.80,481.32,495.46,531.32,557.25,22.67%
Czechia,"15,136.37","15,136.37","13,143.94","11,318.44","10,041.84","9,070.07","9,170.80","8,876.50","8,500.75","8,140.04","8,186.73","8,281.61","8,544.77","8,139.80","7,550.38","7,841.83","7,814.76","7,744.25","7,950.73","8,015.36","7,190.49","7,146.92","7,650.75","7,572.90","7,484.56","7,559.94","8,164.50","8,405.22","8,191.44","7,989.79","7,933.44","7,717.83","7,844.54",-48.17%
Denmark,"13,995.78","13,995.78","13,865.17","13,720.55","13,695.58","13,529.33","13,553.23","13,164.05","13,198.90","13,199.01","12,797.42","12,774.00","12,841.65","12,924.52","12,764.49","12,732.03","12,532.36","12,237.02","12,442.46","12,429.20","12,261.48","12,183.85","12,174.11","12,160.03","12,154.95","12,290.96","12,126.96","12,332.71","12,378.69","12,242.53","12,175.71","12,485.85","12,171.55",-13.03%
Estonia,"2,723.70","2,723.70","2,610.77","2,208.80","1,733.92","1,584.62","1,405.61","1,298.81","1,309.20","1,327.08","1,152.46","1,158.69","1,162.90","1,102.14","1,151.44","1,192.24","1,212.06","1,211.57","1,263.62","1,318.50","1,268.82","1,302.23","1,328.09","1,409.72","1,451.60","1,498.19","1,459.91","1,426.11","1,478.63","1,480.33","1,559.55","1,569.74","1,583.94",-41.85%
European Union (Convention),"484,606.81","484,606.81","456,700.53","435,994.24","424,865.39","419,153.70","418,967.00","420,223.13","418,190.50","416,041.30","413,388.07","409,281.48","407,749.04","400,507.31","395,324.41","393,679.56","389,223.94","386,079.74","389,077.21","386,575.01","381,540.65","376,261.83","375,710.69","375,535.13","377,711.06","382,763.23","384,280.24","386,350.86","388,162.75","385,144.08","380,247.96","381,956.83","378,430.47",-21.91%
Finland,"7,243.80","7,243.80","6,839.88","6,346.04","6,624.94","6,674.32","6,461.20","6,570.24","6,670.92","6,490.90","6,385.79","6,386.36","6,382.86","6,448.68","6,330.29","6,299.80","6,312.53","6,318.53","6,285.81","6,403.18","6,342.88","6,421.44","6,275.26","6,238.74","6,350.39","6,409.25","6,392.50","6,438.98","6,346.67","6,296.93","6,445.87","6,414.59","6,303.11",-12.99%
France,"78,176.82","78,176.82","77,262.48","76,630.17","75,366.27","74,640.69","75,237.87","75,819.78","75,945.32","75,929.69","76,294.49","78,506.06","78,150.28","76,754.48","73,706.68","74,244.61","73,740.60","73,191.21","73,686.80","75,100.47","74,005.60","72,289.01","72,120.34","71,933.47","71,179.71","72,736.91","72,460.41","71,756.33","71,786.82","70,821.43","69,150.18","67,668.49","66,529.31",-14.90%
