"Time Series - GHGs from Energy – Energy Industries, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"143,210.53","143,210.53","146,432.53","149,756.10","151,530.85","152,346.30","158,179.91","162,782.95","169,459.34","182,112.87","189,281.54","192,243.67","199,507.26","201,665.56","205,153.78","214,252.03","216,611.08","221,108.94","224,173.15","225,967.04","232,527.76","226,659.56","220,712.23","222,471.21","211,473.07","205,297.15","212,042.36","219,422.48","218,428.11","214,601.39","213,646.10","207,591.70",—,-100.00%
Austria,"14,007.51","14,007.51","14,796.39","11,552.40","11,626.26","11,914.57","13,058.70","14,033.58","14,079.84","13,137.39","12,634.30","12,314.54","13,705.39","13,369.39","15,915.55","15,852.98","16,026.09","14,821.36","13,621.83","13,446.73","12,437.31","13,747.13","13,408.62","11,975.07","11,006.22","9,387.20","10,502.43","10,287.27","10,902.60","10,054.06","10,169.59","8,799.60","8,854.59",-36.79%
Belarus,"62,191.86","62,191.86","58,464.92","54,613.44","45,729.37","41,896.72","36,113.45","35,992.97","36,794.59","34,885.37","34,194.49","32,416.93","32,467.77","31,996.94","31,929.51","34,235.76","33,640.41","34,276.79","32,147.78","33,071.23","32,245.16","33,023.68","30,922.73","33,081.09","32,523.41","32,277.39","30,518.68","29,585.95","29,838.94","31,977.34","31,661.31","30,390.71","31,404.40",-49.50%
Belgium,"29,728.26","29,728.26","30,160.52","29,246.31","28,515.09","29,653.93","29,257.02","28,612.36","27,553.00","30,452.69","26,761.75","28,495.94","26,162.18","27,641.47","28,805.44","29,258.73","28,994.10","27,883.22","27,193.62","25,089.89","25,567.60","26,128.80","22,705.52","22,553.36","21,105.22","20,114.11","20,835.57","19,536.72","19,682.86","19,636.85","20,964.21","18,984.02","18,191.20",-38.81%
Bulgaria,"42,166.58","36,525.83","30,059.66","29,088.40","29,730.93","27,026.71","27,436.49","27,440.40","29,228.37","27,909.67","24,188.91","24,180.79","27,848.00","25,101.94","27,124.75","26,888.02","27,088.11","27,382.25","30,717.29","32,234.72","29,468.08","31,319.99","36,090.25","31,310.81","26,979.03","28,756.48","29,766.96","26,361.25","27,650.15","23,510.91","22,508.60","17,886.21","22,100.57",-47.59%
Canada,"143,124.25","143,124.25","142,048.26","150,548.23","145,271.42","147,088.43","152,051.16","154,812.86","164,914.57","179,628.96","187,088.41","202,853.73","207,409.01","206,396.17","215,970.66","208,789.50","207,998.47","205,598.97","221,420.43","209,996.54","195,424.15","198,759.64","196,018.22","196,617.91","194,572.74","194,654.05","201,726.36","192,551.44","192,128.84","190,371.46","189,801.73","174,305.55","177,238.08",23.84%
Croatia,"7,087.34","7,087.34","4,757.22","5,361.38","5,960.95","4,672.85","5,277.14","5,101.60","5,575.58","6,259.68","6,480.73","5,831.82","6,367.49","7,253.16","7,900.71","6,810.36","6,835.53","6,656.87","7,845.50","6,798.52","6,389.44","5,901.52","6,273.94","5,874.04","5,261.34","4,763.49","4,740.89","4,873.38","4,491.67","3,936.35","3,914.17","3,694.23","3,756.69",-46.99%
Cyprus,"1,767.15","1,767.15","1,830.04","2,127.66","2,250.25","2,379.10","2,173.59","2,288.84","2,418.99","2,652.10","2,836.24","2,964.25","2,846.70","3,008.39","3,235.30","3,294.29","3,483.13","3,664.95","3,813.94","3,979.90","4,005.09","3,880.21","3,721.84","3,557.08","2,838.75","2,949.69","3,032.55","3,310.59","3,298.48","3,353.05","3,292.52","3,032.83","3,087.56",74.72%
Czechia,"56,830.03","56,830.03","55,451.73","54,625.59","54,297.19","54,817.99","61,734.87","66,488.97","62,781.61","60,652.02","58,199.89","62,034.93","64,216.82","62,771.91","62,421.75","62,540.58","63,138.26","62,587.52","66,235.34","61,506.36","57,436.62","62,175.65","61,893.03","59,023.19","55,200.07","53,767.73","53,666.27","54,431.97","53,647.51","52,933.60","49,175.55","41,591.71","41,053.53",-27.76%
Denmark,"26,529.25","26,529.25","35,421.63","30,493.16","32,096.71","36,171.76","32,803.84","45,237.19","36,074.21","32,463.56","29,378.50","26,362.04","27,719.78","27,895.46","32,635.10","26,722.08","23,472.77","31,384.71","26,682.21","24,591.74","24,483.80","24,508.90","20,489.30","17,174.44","19,372.28","15,839.27","13,116.57","14,301.37","11,826.49","11,758.86","8,990.30","7,633.42","8,608.54",-67.55%
