"Time Series - GHGs from Energy – Fugitive Emissions from Fuels, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"36,779.62","36,779.62","36,168.38","37,934.54","36,865.78","34,899.26","36,415.33","35,978.89","38,658.41","39,792.33","36,980.77","40,154.69","40,172.07","39,003.49","37,350.54","37,172.32","38,952.12","39,726.98","42,439.73","41,811.52","41,573.30","41,354.83","39,889.95","40,609.63","41,273.47","39,483.37","44,270.82","45,572.36","47,632.42","50,502.20","52,044.77","49,616.22",—,-100.00%
Austria,773.98,773.98,624.28,671.26,636.83,511.68,504.68,430.33,474.40,502.45,535.67,536.51,554.64,538.88,555.41,502.11,470.62,499.86,506.32,465.06,513.46,502.16,495.08,509.61,505.42,470.68,456.15,423.34,461.97,399.75,374.44,355.38,331.35,-57.19%
Belarus,"2,940.67","2,940.67","2,798.72","2,838.87","2,763.96","2,646.90","2,523.87","2,535.90","2,627.54","2,584.45","2,604.67","2,755.72","2,723.46","2,751.15","2,783.19","2,864.36","2,802.39","2,892.69","2,822.66","2,861.80","2,691.53","2,835.41","2,721.19","2,762.09","2,688.74","2,752.89","2,681.23","2,642.09","2,742.47","2,759.99","2,777.96","2,856.47","2,812.92",-4.34%
Belgium,"1,376.56","1,376.56","1,208.68","1,046.08","1,092.91",961.04,968.59,952.46,913.39,892.53,901.57,938.84,911.39,884.06,816.11,798.83,819.70,841.35,822.18,791.65,792.82,840.27,779.09,746.67,739.93,713.31,737.63,711.25,721.31,724.41,719.33,675.12,658.20,-52.19%
Bulgaria,"2,658.09","2,482.00","2,111.50","2,357.48","2,390.42","2,256.74","2,357.70","2,304.40","2,095.56","1,776.78","1,478.02","1,574.71","1,451.01","1,734.96","1,899.45","1,434.73","1,459.35","1,321.59","1,464.60","1,484.36","1,633.30","1,748.37","2,029.89","1,840.77","1,689.12","1,684.82","2,040.91","2,143.74","2,317.03","1,985.41","2,006.70","1,734.69","1,750.12",-34.16%
Canada,"48,131.58","48,131.58","49,489.86","53,165.59","55,532.20","58,915.52","61,843.20","66,434.86","68,919.89","71,450.64","69,235.44","70,137.77","68,954.43","68,504.20","68,081.18","69,867.06","70,058.59","72,890.52","71,779.73","70,868.05","66,798.25","69,830.04","70,824.83","73,904.63","74,811.17","76,621.08","73,319.63","66,050.67","65,952.21","66,115.93","64,387.80","55,399.65","55,167.07",14.62%
Croatia,"1,052.54","1,052.54",959.66,"1,083.17","1,149.97","1,034.25","1,160.71","1,123.20","1,068.73",966.23,930.19,969.63,"1,036.15","1,055.63","1,009.22","1,056.32","1,035.58","1,063.38","1,036.39",933.17,861.32,829.74,824.64,703.85,672.16,645.99,466.46,455.29,528.44,483.65,473.42,460.36,448.95,-57.35%
Cyprus,0.45,0.45,0.54,0.52,0.56,0.65,0.59,0.54,0.74,0.77,0.84,0.84,0.82,0.77,0.69,0.20,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",—
Czechia,"13,835.30","13,835.30","12,737.65","11,753.47","12,090.85","11,406.51","11,264.54","11,290.28","10,986.03","10,500.78","9,500.99","8,548.46","7,809.91","7,531.85","7,393.10","7,086.27","7,625.07","7,884.40","7,351.27","7,236.03","6,386.52","6,435.93","6,388.49","6,138.35","5,109.65","5,102.43","4,933.04","4,441.27","4,058.39","3,776.70","3,369.46","2,622.51","2,615.28",-81.10%
Denmark,490.03,490.03,854.86,886.34,792.20,792.41,671.81,729.74,979.64,789.78,"1,451.47","1,042.53","1,098.35",992.86,980.80,"1,085.39",866.17,847.98,832.75,647.92,479.32,565.28,428.30,372.77,391.33,393.39,380.34,400.41,364.31,339.18,282.85,188.50,172.43,-64.81%
Estonia,71.77,71.77,72.07,42.14,20.89,30.00,34.21,37.72,36.65,34.79,33.82,38.87,41.72,34.98,39.93,45.48,46.96,47.46,47.17,45.24,30.84,33.03,29.55,32.03,32.58,25.58,22.93,25.15,23.16,24.28,22.34,20.43,23.16,-67.74%
