"Time Series - GHGs from Energy ? Manufacturing Industries and Construction, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"36,256.19","36,256.19","35,791.44","35,344.09","35,927.05","36,718.48","37,662.47","37,695.84","37,790.76","37,893.71","38,145.39","38,952.22","38,450.77","39,129.01","39,623.67","40,503.71","41,584.24","40,647.58","40,926.55","43,037.34","40,546.25","39,742.55","40,919.36","42,913.44","46,011.42","46,382.64","42,785.66","41,498.90","40,728.27","41,710.27","41,646.04","41,731.64",?,-100.00%
Austria,"9,609.32","9,609.32","9,913.60","9,202.72","9,455.96","10,104.50","10,065.40","10,634.88","11,829.20","10,465.18","9,765.36","10,023.42","10,050.20","10,429.55","10,848.08","11,066.19","11,361.38","11,191.64","10,747.85","11,095.54","10,567.79","11,188.46","11,097.80","10,992.70","10,732.77","10,338.93","10,203.68","10,514.62","10,722.36","10,833.05","10,817.82","10,522.10","10,923.19",13.67%
Belarus,"8,462.37","8,462.37","8,234.52","5,479.53","5,882.27","4,419.74","3,637.94","3,838.54","3,851.49","4,374.50","4,187.24","3,120.24","3,160.72","3,129.74","3,482.31","3,765.69","3,905.98","3,871.15","4,118.93","4,310.77","3,764.85","4,129.81","4,523.80","4,763.92","5,135.76","5,245.71","4,419.78","4,376.49","4,515.17","4,579.03","4,796.26","4,630.92","4,564.96",-46.06%
Belgium,"23,527.11","23,527.11","23,783.22","22,654.93","22,588.05","23,172.15","23,169.70","22,452.33","21,853.96","22,392.48","21,448.52","21,653.17","21,612.33","20,910.97","19,773.04","19,515.37","18,932.73","19,122.50","19,187.91","19,342.42","13,784.90","15,956.98","15,566.99","14,601.46","14,343.87","13,812.29","13,839.84","13,668.58","13,797.84","14,100.98","13,894.03","13,317.53","13,994.97",-40.52%
Bulgaria,"17,495.40","17,756.74","15,728.34","13,433.07","12,359.30","12,482.48","13,082.59","13,402.64","10,438.87","9,890.09","7,934.65","7,222.81","7,178.35","7,087.71","8,125.43","7,340.02","7,080.93","7,198.61","7,847.37","5,528.34","3,140.90","3,156.84","2,745.26","2,600.50","2,631.60","2,581.08","2,857.02","2,906.70","3,598.60","4,273.45","4,194.90","4,015.76","4,573.33",-73.86%
Canada,"74,724.55","74,724.55","71,451.52","70,538.73","68,343.93","72,969.84","75,649.45","77,930.21","79,368.60","76,277.30","77,514.46","78,821.39","73,709.16","72,631.13","71,086.83","72,488.06","69,400.50","67,725.69","68,592.12","66,374.61","59,590.70","63,091.14","67,156.92","66,930.19","67,660.84","66,282.61","66,915.07","64,739.59","67,645.90","70,031.12","70,479.49","63,741.80","66,139.79",-11.49%
Croatia,"5,233.83","5,233.83","3,788.13","3,093.98","2,931.01","3,090.37","2,887.07","2,879.41","3,094.23","3,078.60","2,878.73","3,073.89","3,209.07","3,069.02","3,150.25","3,599.25","3,738.89","3,870.92","3,868.89","3,888.09","3,171.58","3,029.72","2,791.79","2,421.54","2,396.96","2,334.67","2,231.76","2,236.57","2,439.12","2,421.13","2,431.83","2,393.69","2,430.36",-53.56%
Cyprus,504.83,504.83,931.20,715.69,757.20,770.39,757.96,858.80,757.94,760.88,786.07,802.46,748.31,759.63,786.80,866.74,911.90,871.70,929.97,907.26,802.35,699.92,574.76,460.45,540.14,696.30,603.58,599.76,620.65,555.45,566.09,561.49,530.62,5.11%
Czechia,"47,105.11","47,105.11","39,853.15","43,889.90","36,746.40","29,181.41","24,464.51","24,249.76","24,057.02","21,701.61","18,503.75","23,422.11","20,876.17","19,995.48","19,934.04","19,567.09","18,842.92","18,542.05","16,657.35","16,072.10","15,780.10","12,112.49","11,143.72","10,798.69","10,258.34","9,730.63","9,869.85","9,610.20","10,470.42","10,220.66","9,780.42","10,266.13","12,892.67",-72.63%
Denmark,"5,819.29","5,819.29","6,264.58","6,052.11","5,957.50","6,062.97","6,224.07","6,346.57","6,361.70","6,313.92","6,386.35","6,159.72","6,278.29","5,916.79","5,903.94","5,995.23","5,695.11","5,822.19","5,564.28","5,034.77","4,181.04","4,618.60","4,512.17","4,197.91","4,018.89","4,004.31","3,968.75","4,066.96","4,165.65","4,177.47","3,942.79","3,840.48","3,919.97",-32.64%
