"Time Series - GHGs from Energy ? Other, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,422.99,422.99,446.65,497.86,504.37,563.82,696.51,781.89,821.25,708.90,632.60,634.93,638.92,590.79,560.71,582.91,623.33,654.97,827.66,847.41,834.41,889.33,898.71,872.24,911.83,"1,026.41",945.77,"1,108.46",924.55,929.14,792.36,947.85,?,-100.00%
Austria,35.78,35.78,37.90,34.45,40.28,42.46,33.30,39.76,37.88,43.27,42.43,41.70,42.27,42.83,43.38,43.94,44.47,44.96,45.52,46.07,45.00,43.95,42.91,41.87,40.84,39.79,38.74,37.72,36.70,35.66,34.63,33.60,30.29,-15.34%
Belarus,"1,492.64","1,492.64","1,456.52",955.23,769.57,890.26,977.80,979.06,802.39,849.63,938.49,"1,229.73","1,326.76","1,264.08","1,358.21","1,630.76","1,651.76","1,682.97","1,773.74","1,624.52","1,512.44","1,232.79","1,323.52","1,280.29","1,264.36","1,356.76","1,278.53","1,221.37","1,129.49","1,084.26","1,061.57",813.88,"1,045.50",-29.96%
Belgium,173.43,173.43,208.32,206.05,201.36,213.31,209.56,223.70,232.16,215.52,230.97,221.77,231.01,227.48,226.34,206.34,204.75,203.79,168.66,161.77,154.68,131.22,127.91,111.02,104.33,100.66,107.33,110.18,105.84,115.58,96.50,105.50,105.50,-39.17%
Bulgaria,"5,241.50",86.38,82.05,77.71,73.37,69.04,64.70,60.37,56.03,46.69,114.40,46.69,100.39,58.37,51.36,42.14,23.50,60.57,108.06,17.05,47.86,24.85,38.67,9.51,17.61,9.36,21.30,42.80,40.58,31.11,1.08,1.01,0.93,-99.98%
Canada,261.77,261.77,248.84,255.99,233.48,240.81,259.29,276.18,275.25,263.49,239.25,293.33,232.97,290.55,333.79,328.55,286.33,263.92,331.57,323.67,293.23,283.30,276.95,315.59,307.84,323.09,376.09,386.72,334.84,333.25,342.12,266.88,281.43,7.51%
Croatia,"NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE","NO,IE",?
Cyprus,11.06,11.06,12.30,14.90,15.46,15.91,17.27,18.17,19.07,20.31,20.88,21.56,21.78,20.88,21.44,20.61,19.24,14.17,20.54,42.97,20.50,20.50,26.88,20.50,26.67,38.18,25.40,25.40,25.55,26.74,25.95,26.63,23.06,108.51%
Czechia,194.42,194.42,156.16,200.83,188.16,213.79,216.95,210.68,198.00,171.94,165.98,178.73,159.88,236.89,240.11,267.88,267.40,253.64,338.56,368.12,355.89,321.70,378.05,308.97,302.91,312.27,372.43,397.83,454.03,315.35,296.71,315.00,318.83,63.99%
Denmark,178.84,178.84,351.28,207.35,307.53,325.64,329.73,257.12,256.09,293.73,276.15,207.84,198.27,194.37,201.90,355.26,386.18,241.72,287.55,221.18,279.16,233.24,313.57,227.19,241.15,229.52,202.90,208.94,305.32,218.03,199.35,244.75,226.02,26.38%
