"Time Series - GHGs from Energy ? Transport, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"61,392.93","61,392.93","60,797.77","61,812.43","63,392.60","64,920.61","68,268.83","70,152.43","71,456.34","71,652.78","72,525.61","74,127.58","74,092.40","75,623.85","78,104.58","81,175.76","82,209.53","83,501.81","85,455.24","86,517.33","87,354.95","88,807.96","91,423.96","91,959.26","92,167.95","93,256.65","95,389.77","96,375.15","97,995.91","100,262.00","100,315.64","93,452.95",?,-100.00%
Austria,"13,951.91","13,951.91","15,429.50","15,395.82","15,523.15","15,567.07","15,846.73","17,399.68","16,410.59","18,516.20","17,980.23","18,792.05","20,285.53","22,199.12","24,055.27","24,573.61","24,928.38","23,662.73","23,886.71","22,415.95","21,759.12","22,566.96","21,916.32","21,732.30","22,911.18","22,225.64","22,702.12","23,554.97","24,304.96","24,422.26","24,471.82","21,155.62","21,932.19",57.20%
Belarus,"12,528.87","12,528.87","13,430.36","12,262.39","10,533.71","7,372.30","7,184.75","7,726.81","8,130.75","8,529.88","7,535.24","6,792.27","6,444.87","6,950.01","7,173.14","7,318.05","8,089.37","9,476.19","9,542.89","10,851.62","10,603.18","11,120.69","11,629.22","11,418.67","12,655.13","11,967.59","10,766.82","11,186.01","11,689.34","12,301.56","12,313.54","11,086.08","11,137.03",-11.11%
Belgium,"20,925.49","20,925.49","21,103.85","21,858.53","22,357.43","22,855.48","22,938.81","23,366.85","23,583.57","24,246.31","24,567.85","24,986.73","25,544.21","25,860.79","26,447.42","27,531.54","26,739.82","27,338.93","28,192.38","28,273.84","27,497.34","26,707.87","26,304.24","25,483.10","24,995.69","25,243.30","26,918.59","26,633.73","26,058.43","26,232.44","25,993.75","21,671.98","23,860.73",14.03%
Bulgaria,"7,066.44","6,515.52","3,552.28","3,894.14","4,419.17","4,040.58","4,321.81","4,238.30","4,293.24","5,458.48","5,627.14","5,461.56","5,569.15","5,844.33","6,443.07","6,987.35","7,815.65","8,276.08","8,057.21","8,550.97","8,194.28","7,983.15","8,152.11","8,505.82","7,431.48","8,416.32","9,198.46","9,299.91","9,438.03","9,651.32","9,809.19","9,225.20","9,921.25",40.40%
Canada,"118,733.30","118,733.30","115,210.00","119,600.93","123,227.67","129,729.40","132,505.62","135,502.17","139,273.26","141,742.61","145,282.34","144,884.45","143,889.88","146,122.55","149,727.72","153,781.02","157,735.27","158,183.62","162,174.13","161,973.44","159,519.35","161,306.62","159,436.13","159,856.58","163,700.70","163,298.01","161,491.25","160,410.90","162,757.40","167,075.70","168,097.03","141,342.72","148,994.91",25.49%
Croatia,"3,893.62","3,893.62","2,949.42","2,848.71","2,999.49","3,182.16","3,369.26","3,724.70","4,083.55","4,194.93","4,469.68","4,494.84","4,545.04","4,821.81","5,220.33","5,392.29","5,558.12","5,914.34","6,338.58","6,169.35","6,179.20","5,948.34","5,797.60","5,614.73","5,700.37","5,642.81","5,951.31","6,174.69","6,642.11","6,406.80","6,584.91","5,798.26","6,261.90",60.82%
Cyprus,"1,236.79","1,236.79","1,238.86","1,387.08","1,402.36","1,460.24","1,550.12","1,601.66","1,670.14","1,747.95","1,795.16","1,837.70","1,900.49","1,883.99","1,995.66","2,073.67","2,112.38","2,100.07","2,235.65","2,325.00","2,326.91","2,375.42","2,305.22","2,130.89","1,920.66","1,853.43","1,923.49","2,051.44","2,123.91","2,094.22","2,139.35","1,916.34","2,051.16",65.85%
Czechia,"11,249.60","11,249.60","10,190.57","10,612.61","10,173.96","11,092.81","10,410.03","10,636.20","10,616.78","11,896.51","12,124.22","12,238.29","13,021.95","13,486.71","15,367.26","16,076.83","17,365.33","17,660.11","18,609.51","18,473.97","17,800.90","16,795.00","16,621.82","16,333.54","16,205.14","16,720.37","17,480.41","18,158.64","18,659.93","18,848.15","19,018.74","17,721.56","18,937.28",68.34%
Denmark,"10,956.61","10,956.61","11,461.77","11,666.85","11,691.55","12,099.18","12,243.06","12,500.77","12,709.90","12,708.68","12,736.89","12,600.25","12,653.08","12,812.18","13,280.90","13,522.59","13,740.12","14,069.46","14,631.03","14,468.72","13,681.30","13,556.70","13,260.54","12,678.11","12,466.28","12,574.42","12,754.20","13,051.36","13,246.23","13,497.64","13,317.45","12,201.89","12,478.47",13.89%
