"Time Series - GHGs from Energy, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"293,666.65","293,666.65","295,406.86","301,560.68","304,891.72","305,988.75","318,379.28","324,878.12","335,863.55","350,014.54","355,403.20","364,335.94","371,917.07","375,144.18","380,527.93","393,349.18","400,057.22","405,873.96","413,894.77","418,602.48","423,434.48","418,387.00","415,192.34","420,619.32","414,055.13","408,090.73","418,703.55","428,056.56","430,153.54","432,557.74","431,584.98","415,868.44",—,-100.00%
Austria,"52,664.96","52,664.96","56,274.66","51,740.28","52,087.32","51,614.43","54,161.65","58,179.58","57,034.74","56,888.36","55,811.19","55,291.16","59,456.65","60,622.19","66,130.18","66,229.01","66,714.60","63,921.32","60,487.92","59,530.93","56,391.83","59,281.15","56,970.77","54,829.57","55,005.15","51,280.48","53,063.77","54,288.90","56,000.91","54,555.09","54,937.47","49,930.23","52,141.96",-0.99%
Belarus,"105,289.29","105,289.29","101,298.72","91,172.65","79,431.21","67,648.79","60,224.00","61,060.41","60,613.97","58,769.76","56,810.50","54,222.40","53,236.02","52,990.26","53,580.70","56,651.33","57,269.01","59,671.04","57,948.61","60,555.47","58,233.41","59,916.05","58,837.98","59,773.18","61,585.42","60,594.58","56,237.56","55,883.62","57,084.66","60,054.05","59,653.03","56,696.37","58,521.59",-44.42%
Belgium,"103,906.80","103,906.80","107,556.37","105,916.59","105,787.68","107,476.89","107,789.99","112,127.06","106,302.94","110,688.52","105,341.92","106,210.46","106,665.82","107,010.69","108,114.62","107,921.19","105,787.99","104,034.18","101,888.52","101,538.65","94,927.14","99,618.88","89,996.69","89,135.27","88,917.56","83,012.23","87,113.45","85,230.15","84,733.80","85,322.62","85,542.91","78,056.08","82,104.17",-20.98%
Bulgaria,"81,562.45","71,512.07","57,480.62","54,652.63","55,333.78","51,645.10","51,664.40","52,395.70","49,944.00","49,013.46","42,608.04","41,081.59","44,520.26","42,664.92","46,644.51","45,221.57","45,990.93","47,029.39","50,678.78","50,027.16","44,437.95","46,370.94","51,474.23","46,654.14","40,854.56","43,244.03","45,829.61","42,745.06","45,078.84","41,316.77","40,337.10","34,678.69","40,444.13",-50.41%
Canada,"471,564.75","471,564.75","463,345.99","480,805.10","482,148.22","498,284.31","512,687.70","531,292.29","547,157.17","555,281.71","568,995.35","593,164.24","585,778.20","588,808.27","603,826.25","601,460.52","599,887.08","593,335.34","618,305.84","602,172.05","571,038.25","581,702.95","588,018.26","586,546.24","593,018.02","594,065.85","596,085.21","576,633.11","586,428.15","595,936.32","596,061.47","531,887.29","543,183.91",15.19%
Croatia,"21,512.57","21,512.57","16,081.00","15,430.89","16,095.83","15,081.90","16,033.23","16,632.78","17,628.44","18,173.50","18,847.58","18,257.15","19,295.29","20,401.98","21,776.35","21,249.26","21,619.55","21,678.77","22,914.30","21,733.91","20,573.52","19,764.71","19,506.45","18,085.82","17,336.01","16,387.51","16,640.71","17,046.54","17,426.65","16,480.21","16,535.95","15,554.96","16,272.30",-24.36%
Cyprus,"3,954.35","3,954.35","4,486.96","4,811.43","4,988.10","5,200.67","5,107.25","5,402.12","5,525.00","5,866.52","6,130.96","6,357.63","6,252.10","6,412.02","6,803.06","6,942.20","7,136.65","7,321.74","7,642.68","7,853.41","7,781.63","7,546.70","7,250.42","6,769.05","5,847.05","5,994.43","6,117.23","6,512.90","6,604.17","6,493.46","6,566.71","6,047.95","6,172.40",56.09%
Czechia,"163,204.26","163,204.26","150,464.89","145,724.81","141,387.77","132,043.98","131,369.57","134,178.42","128,902.25","122,822.28","115,394.71","123,740.91","123,673.45","120,402.12","122,943.66","122,614.70","121,844.35","121,945.78","122,756.13","117,528.02","111,397.68","113,218.32","110,728.26","106,916.41","101,483.57","98,467.15","99,474.44","100,718.69","101,495.95","99,321.78","94,310.67","84,914.69","88,662.03",-45.67%
Denmark,"53,699.69","53,699.69","64,315.00","58,467.97","60,671.72","64,688.26","61,702.38","75,208.94","65,718.33","61,695.23","59,207.04","54,906.58","56,728.41","56,221.01","61,519.07","55,915.30","52,266.61","60,212.09","55,369.12","52,091.44","50,024.76","50,689.46","45,337.80","40,744.65","42,501.14","38,210.31","35,759.13","37,375.84","35,178.99","35,236.42","31,698.47","28,803.63","30,149.36",-43.86%
