"Time Series - GHGs from Industrial Processes and Product Use, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"25,902.44","25,902.44","25,083.78","25,674.84","25,403.93","25,407.54","25,051.49","24,608.93","24,689.23","25,806.24","26,229.50","26,128.90","27,090.48","27,591.63","30,133.76","31,477.78","30,705.99","31,079.10","33,214.03","33,279.96","31,115.45","34,089.08","34,909.04","32,520.28","30,168.27","30,144.51","31,065.31","31,194.87","31,842.68","32,574.68","33,409.37","32,728.68",—,-100.00%
Austria,"13,615.38","13,615.38","13,681.13","12,042.69","11,996.20","12,826.68","13,606.45","13,096.65","14,073.34","13,673.47","13,452.25","14,407.62","14,338.26","15,061.14","15,080.73","14,750.56","15,651.68","16,178.07","16,926.10","17,303.22","13,969.60","15,934.62","16,126.05","15,729.52","16,138.65","16,288.52","16,799.96","16,497.59","17,230.52","15,595.92","16,520.04","15,523.86","16,958.65",24.56%
Belarus,"5,667.74","5,667.74","5,501.93","5,071.04","4,002.48","3,255.59","3,558.40","3,546.37","3,754.41","4,149.85","4,352.64","4,171.99","4,140.06","4,151.80","4,511.60","4,686.52","4,985.83","5,323.61","5,530.30","5,669.05","5,595.77","5,877.42","5,856.31","5,945.20","6,136.94","6,475.94","6,035.85","5,652.53","5,638.71","5,688.61","6,190.85","6,274.46","6,311.85",11.36%
Belgium,"25,505.24","25,505.24","24,550.63","25,572.18","24,737.00","27,626.46","29,269.47","28,764.10","26,147.42","27,298.15","26,464.35","27,665.22","26,297.98","26,178.80","26,098.51","27,123.47","26,525.02","25,805.62","24,281.93","24,918.00","19,005.41","21,665.69","21,128.44","19,393.17","20,074.99","20,393.31","20,459.26","20,994.47","20,933.56","21,242.32","19,935.57","18,380.18","18,182.55",-28.71%
Bulgaria,"13,176.76","9,813.72","7,681.72","6,436.73","6,738.86","8,280.06","10,270.42","10,127.69","9,375.26","7,004.79","6,138.59","7,068.26","7,017.89","6,312.18","6,969.48","7,054.87","7,508.22","7,324.00","7,775.61","6,853.52","3,829.94","4,088.91","4,637.71","4,370.29","4,425.33","4,808.59","5,148.63","5,341.63","5,219.43","4,908.82","4,603.42","4,316.10","4,533.86",-65.59%
Canada,"56,965.60","56,965.60","58,370.82","56,113.46","55,870.09","57,775.31","58,394.40","60,677.44","60,188.80","56,995.53","54,498.48","54,022.41","51,946.22","53,928.93","56,040.73","60,111.31","56,510.77","56,909.58","55,462.20","54,666.00","47,450.78","50,576.80","54,075.15","58,384.64","56,159.21","53,866.35","53,427.35","54,231.49","52,444.00","53,868.76","52,882.46","50,360.25","51,943.38",-8.82%
Croatia,"4,403.43","4,403.43","3,325.05","2,777.71","2,267.34","2,501.74","2,323.46","2,288.55","2,483.78","2,246.83","2,689.43","2,953.27","2,953.11","2,925.60","2,956.80","3,293.18","3,400.25","3,583.62","3,788.33","3,760.99","3,124.27","3,408.55","3,286.06","3,071.57","2,875.00","3,107.88","3,205.31","3,029.10","3,406.58","3,383.93","3,556.57","3,646.34","3,595.93",-18.34%
Cyprus,727.93,727.93,687.86,762.12,833.50,870.23,839.73,904.15,876.09,840.75,853.74,883.08,876.25,919.23,934.15,"1,014.67","1,003.14","1,060.19","1,071.98","1,094.04",930.88,810.82,811.86,772.54,"1,014.55","1,243.21","1,159.72","1,187.42","1,250.85","1,201.49","1,173.02","1,267.49","1,277.81",75.54%
Czechia,"17,115.22","17,115.22","13,767.97","14,522.80","13,351.21","14,607.00","14,160.51","14,955.97","15,981.64","16,137.84","13,547.35","15,136.89","14,423.90","14,193.17","15,279.97","16,238.04","14,913.51","16,051.34","16,782.17","16,678.58","14,033.36","14,880.08","15,217.04","14,975.35","14,852.00","15,627.44","15,355.43","15,437.81","15,685.00","16,237.99","15,537.88","14,763.80","16,173.01",-5.51%
Denmark,"2,126.17","2,126.17","2,276.39","2,374.41","2,449.43","2,602.29","2,825.01","2,963.22","2,988.88","3,152.17","3,408.79","3,562.72","3,424.93","3,365.68","3,363.46","3,225.51","2,752.70","2,809.62","2,844.15","2,539.92","2,114.84","1,905.51","2,052.30","2,095.02","2,068.18","2,033.95","1,873.78","2,090.18","2,085.92","2,098.85","1,902.23","1,983.78","1,934.13",-9.03%
Estonia,963.14,963.14,965.50,572.44,351.36,597.58,632.76,648.43,699.12,751.68,686.37,690.74,724.95,547.54,595.17,734.97,720.31,758.58,951.71,962.48,472.96,533.62,657.37,902.73,993.00,705.05,509.42,493.71,633.86,621.29,614.00,289.29,295.94,-69.27%
