"Time Series - GHGs from Land use, Land-use Change and Forestry, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"200,629.48","200,629.48","185,086.56","117,215.29","94,311.90","89,959.72","64,787.04","64,601.17","56,945.91","41,393.59","52,699.37","65,961.30","76,032.03","72,075.94","84,618.66","61,199.97","83,834.70","92,489.54","97,679.64","83,812.14","82,842.20","66,353.84","43,410.65","24,539.66","17,620.34","22,224.14","2,887.56","-30,244.01","-38,368.48","-33,962.08","-40,396.53","-40,145.86",—,-100.00%
Austria,"-12,207.43","-12,207.43","-19,200.71","-9,522.51","-17,062.22","-9,670.98","-19,770.87","-18,855.89","-22,678.80","-19,254.14","-20,476.18","-14,284.03","-29,426.64","-13,184.36","-15,301.52","-22,425.19","-18,418.36","-9,072.88","-5,682.21","-12,373.30","-8,048.89","-19,759.10","-15,359.94","-5,767.49","-6,242.31","-7,612.27","-6,563.10","-6,992.75","-3,249.41","4,920.88","2,132.47","-5,222.20","-10,401.70",-14.79%
Belarus,"-29,399.08","-29,399.08","-29,629.99","-28,382.00","-21,736.97","-30,159.71","-29,937.29","-29,386.13","-28,696.24","-27,240.21","-33,388.00","-34,637.77","-33,718.63","-32,113.99","-29,461.68","-31,979.99","-34,074.53","-36,809.91","-39,149.68","-39,543.53","-42,718.46","-46,146.22","-45,228.00","-43,446.62","-46,019.84","-45,602.42","-43,808.66","-40,113.54","-36,961.14","-39,912.39","-35,630.21","-37,448.42","-43,073.28",46.51%
Belgium,"-2,936.03","-2,936.03","-2,470.59","-2,290.40","-2,307.12","-2,055.17","-2,283.87","-2,480.14","-2,028.93","-2,585.10","-2,107.72","-1,686.17","-1,514.58","-2,107.22","-2,001.17","-1,705.62","-1,765.23","-1,741.70","-1,439.32","-1,365.43","-1,192.06",-362.23,-291.35,-276.25,-923.92,-907.12,-856.23,-768.42,-645.31,-608.26,-480.47,-334.90,-324.37,-88.95%
Bulgaria,"-16,112.02","-16,344.26","-16,416.61","-15,952.39","-16,290.11","-16,415.96","-16,528.10","-15,942.03","-16,191.83","-15,971.33","-15,838.26","-17,083.34","-14,428.65","-14,770.21","-14,365.28","-15,136.22","-16,460.11","-13,137.03","-14,079.24","-12,395.02","-12,489.43","-11,876.88","-8,519.19","-8,021.08","-6,886.46","-8,163.99","-7,689.09","-9,487.74","-9,426.01","-9,563.65","-9,365.55","-9,405.54","-9,144.09",-43.25%
Canada,"-64,507.02","-64,507.02","-68,481.77","-57,012.30","-47,740.16","-56,969.89","-42,366.94","-47,901.70","-51,588.09","-57,537.45","-49,644.37","-37,776.71","-46,399.25","-11,694.59","-10,900.15","-12,433.66","-5,542.41","-19,332.70","-16,876.49","-21,375.97","-48,795.12","-18,173.00","-11,950.00","-21,186.49","-19,733.20","-39,315.97",23.90,"-10,955.83","-16,226.61","-11,293.65","-18,821.11","-13,387.68","-17,302.57",-73.18%
Croatia,"-6,312.20","-6,312.20","-7,483.19","-7,582.26","-7,748.53","-8,017.71","-8,504.70","-8,150.07","-7,541.74","-7,348.55","-8,143.07","-6,695.43","-7,941.17","-8,222.68","-7,399.38","-7,728.33","-7,968.68","-7,785.64","-6,636.20","-6,839.68","-6,941.50","-6,887.63","-5,618.14","-5,180.87","-6,147.74","-6,006.08","-5,698.40","-5,708.49","-4,895.73","-5,503.83","-5,735.84","-5,666.79","-5,802.37",-8.08%
Cyprus,-153.07,-153.07,-166.98,-172.65,-174.80,-183.35,-180.03,-185.36,-184.22,-190.49,-198.38,-142.51,-168.60,-201.94,-214.02,-214.55,-220.83,-222.49,-182.89,-249.84,-277.65,-265.04,-300.78,-293.62,-297.29,-299.11,-296.11,-190.89,-307.03,-302.31,-297.04,-298.54,-235.33,53.74%
Czechia,"-8,585.74","-8,585.74","-9,934.93","-10,069.58","-10,687.22","-9,382.93","-9,677.24","-9,413.14","-8,464.27","-8,155.36","-8,387.08","-9,167.87","-9,160.56","-8,928.89","-8,317.62","-8,143.12","-8,258.09","-7,077.79","-6,507.47","-7,843.40","-7,785.74","-7,154.86","-7,519.27","-7,694.01","-7,081.62","-7,034.38","-6,964.10","-6,107.28","-4,498.83","1,001.83","7,778.07","11,267.85","8,358.01",-197.35%
Denmark,"6,931.02","6,931.02","6,246.80","7,172.48","5,835.20","5,381.11","5,461.80","4,804.90","5,265.00","5,153.36","5,449.29","5,203.38","4,713.62","5,729.61","5,469.54","5,213.91","5,179.99","5,343.64","5,635.50","4,199.74","3,483.63","2,553.16","2,000.62","1,563.69","1,198.73","1,909.91",885.31,"1,966.95","1,916.49","3,821.09","2,990.02","3,137.96","2,456.35",-64.56%
Estonia,"-3,695.48","-3,695.48","-3,568.45","-2,562.96","-3,712.89","-3,132.37","-3,345.20","-3,705.69","-3,829.17","-4,336.04","-3,895.74","-4,678.54","-4,918.78","-4,596.09","-4,263.34","-4,727.91","-2,753.80","-4,333.15","-3,895.01","-5,160.33","-4,800.45","-5,482.66","-5,200.19","-3,559.03","-2,701.79",-260.14,-783.92,-150.38,269.66,"2,257.25","1,149.49","2,509.07","2,882.57",-178.00%
European Union (Convention),"-208,795.23","-208,795.23","-311,522.07","-286,065.39","-300,807.61","-292,237.84","-316,207.08","-334,210.50","-326,623.74","-339,852.58","-353,763.83","-304,140.96","-353,110.01","-322,823.49","-310,966.13","-349,890.46","-342,109.48","-351,296.38","-300,617.29","-344,262.77","-347,022.33","-352,590.19","-347,273.80","-342,633.60","-342,604.91","-327,802.72","-322,423.84","-318,486.52","-249,795.89","-257,789.04","-247,317.62","-241,038.06","-229,984.67",10.15%
Finland,"-25,806.85","-25,806.85","-38,237.43","-32,251.23","-32,935.67","-26,156.51","-24,830.06","-31,192.99","-26,604.59","-24,623.13","-24,870.93","-24,451.21","-25,181.38","-26,346.33","-26,867.73","-28,373.64","-28,447.79","-32,351.26","-22,710.44","-25,310.60","-37,548.78","-26,026.48","-25,302.35","-27,046.96","-20,273.06","-20,760.88","-16,699.56","-13,413.63","-11,023.44","-1,799.16","-6,716.30","-9,112.97",486.61,-101.89%
France,"-16,920.98","-16,920.98","-17,048.68","-14,819.83","-18,775.29","-16,870.71","-19,967.95","-27,312.62","-28,982.30","-31,472.45","-36,142.05","-21,069.94","-34,315.13","-41,514.03","-47,895.62","-48,793.04","-50,694.05","-50,689.14","-49,218.07","-48,718.41","-37,957.98","-40,944.31","-42,361.49","-47,554.59","-45,463.03","-40,767.14","-36,702.83","-29,805.53","-18,476.49","-19,855.64","-16,029.34","-22,236.51","-16,788.79",-0.78%
