"Time Series - GHGs from Waste, in kt CO? equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Party,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Last Inventory Year (2021),Change from base year to latest reported year
Australia,"21,128.23","21,128.23","21,064.76","20,833.40","20,676.67","19,986.79","19,923.88","18,259.28","17,991.07","17,260.07","17,375.16","16,805.82","17,080.29","17,132.11","14,801.79","14,412.64","14,275.37","14,046.28","14,384.01","14,846.43","14,760.84","14,633.64","14,209.78","12,980.11","12,076.96","12,046.93","11,607.88","12,085.54","12,326.19","12,202.81","11,859.50","11,721.53",?,-100.00%
Austria,"4,367.18","4,367.18","4,444.76","4,391.40","4,361.19","4,249.05","4,054.70","3,841.93","3,675.70","3,540.05","3,404.63","3,276.96","3,157.38","3,144.83","3,139.05","3,198.58","3,041.08","2,905.98","2,762.35","2,636.25","2,449.61","2,289.35","2,143.47","2,016.82","1,873.54","1,747.44","1,644.74","1,545.96","1,456.93","1,373.16","1,315.42","1,259.29","1,210.58",-72.28%
Belarus,"4,513.54","4,513.54","4,458.34","4,245.00","4,120.44","4,065.92","4,038.81","4,073.83","4,169.64","4,268.70","4,343.60","4,447.87","4,374.29","4,402.53","4,487.53","4,606.53","4,799.62","4,878.19","5,011.12","5,081.21","4,981.74","5,171.11","5,217.39","5,280.36","5,565.81","5,646.32","5,560.91","5,476.46","5,583.04","5,834.67","5,897.35","5,829.72","5,975.87",32.40%
Belgium,"4,796.24","4,796.24","4,947.31","5,069.05","4,713.66","4,793.80","4,765.64","4,666.87","4,712.33","4,559.00","4,280.13","4,146.06","3,698.09","3,708.12","3,368.90","3,407.19","3,227.21","3,209.68","3,136.73","2,928.10","2,751.36","2,642.86","2,424.83","2,335.67","1,951.45","1,765.11","1,702.48","1,593.24","1,588.73","1,486.90","1,425.31","1,320.29","1,250.83",-73.92%
Bulgaria,"5,284.33","5,258.26","4,881.73","4,821.67","4,600.04","3,816.32","4,443.13","4,600.97","4,577.45","4,338.38","4,221.91","4,194.27","3,922.66","3,786.45","4,153.85","4,196.49","3,882.38","3,859.48","3,835.41","3,812.11","3,730.96","3,732.32","3,734.94","3,666.28","3,741.60","3,624.35","3,552.21","3,488.79","3,252.05","3,111.34","2,997.55","3,011.64","2,832.94",-46.39%
Canada,"18,932.61","18,932.61","18,997.99","19,158.18","19,465.40","19,805.66","19,861.98","19,657.80","19,654.32","20,100.92","20,884.42","21,316.69","21,051.58","21,426.18","21,505.12","21,559.34","21,674.93","21,813.77","21,420.40","21,484.01","20,579.78","20,069.86","20,090.56","20,363.72","21,205.90","21,011.66","21,128.25","21,115.72","21,273.97","21,322.41","21,117.80","21,049.67","21,057.25",11.22%
Croatia,"1,113.84","1,113.84","1,125.63","1,137.22","1,153.57","1,178.23","1,197.69","1,209.44","1,241.97","1,263.17","1,306.37","1,350.03","1,365.55","1,406.89","1,445.38","1,499.32","1,494.82","1,585.71","1,669.56","1,756.68","1,812.45","1,862.76","1,899.20","1,894.29","1,878.21","1,925.61","1,977.83","2,013.28","2,032.08","2,006.12","1,985.63","2,004.81","1,877.24",68.54%
Cyprus,435.18,435.18,440.71,449.08,459.80,472.74,481.39,487.64,497.08,504.51,513.07,523.24,533.60,541.54,544.68,548.53,557.57,557.86,559.92,570.25,577.38,583.92,589.71,599.76,609.81,620.38,624.81,627.76,635.25,644.93,656.42,656.09,662.56,52.25%
Czechia,"3,319.42","3,319.42","3,482.86","3,468.80","3,542.85","3,689.59","3,671.07","3,698.76","3,815.72","3,934.44","3,933.21","3,979.80","4,118.03","4,230.67","4,378.88","4,315.41","4,362.37","4,425.41","4,340.86","4,546.62","4,658.77","4,922.25","4,971.95","5,145.52","5,431.57","5,425.52","5,512.08","5,545.24","5,579.54","5,630.50","5,669.27","5,675.72","5,702.11",71.78%
Denmark,"1,999.29","1,999.29","1,976.44","1,954.64","1,854.13","1,778.89","1,668.10","1,592.48","1,505.30","1,409.52","1,411.64","1,419.15","1,403.12","1,359.95","1,359.61","1,187.23","1,196.51","1,241.68","1,224.54","1,230.79","1,143.78","1,078.63","1,088.41","1,059.11","1,055.12","1,073.67","1,074.74","1,107.42","1,130.32","1,148.22","1,165.27","1,210.54","1,260.54",-36.95%
Estonia,404.97,404.97,419.38,432.21,452.84,451.25,437.33,479.84,542.91,562.25,569.95,622.40,631.11,617.26,603.70,597.31,568.29,551.08,543.30,525.55,549.91,535.98,489.72,468.05,431.63,394.04,367.56,357.26,345.93,333.79,328.51,314.91,317.16,-21.68%
European Union (Convention),"184,184.09","184,184.09","187,966.06","190,101.00","190,385.70","188,663.91","188,013.55","186,413.14","183,117.18","179,513.30","175,663.96","174,008.49","171,252.46","167,686.54","165,104.43","159,455.89","154,348.06","150,751.22","146,854.34","142,665.88","140,321.75","137,047.65","132,460.15","129,336.51","124,321.82","120,021.61","118,157.80","115,692.99","114,633.33","113,407.49","112,449.43","111,400.32","109,283.57",-40.67%
Finland,"5,207.61","5,207.61","5,268.98","5,283.36","5,277.19","5,205.70","5,124.59","5,006.41","4,864.85","4,642.83","4,528.31","4,250.62","4,071.86","3,788.16","3,562.59","3,388.62","3,118.82","3,202.38","3,086.25","2,950.27","2,836.76","2,836.97","2,739.49","2,675.78","2,537.08","2,386.39","2,310.73","2,159.90","2,050.78","2,008.15","1,977.81","1,914.89","1,818.03",-65.09%
France,"18,033.23","18,033.23","18,842.23","19,743.27","20,616.52","21,084.97","21,416.15","21,556.52","21,646.60","22,182.34","22,444.37","22,899.86","23,188.24","23,424.73","23,552.57","23,365.78","23,252.97","23,257.18","23,164.13","23,211.19","22,555.79","22,665.27","21,755.40","21,363.96","19,787.16","19,176.18","18,145.12","18,181.50","18,251.94","18,038.62","19,318.47","19,075.05","18,451.54",2.32%
Germany,"41,208.89","41,208.89","42,608.21","43,072.00","42,650.10","41,491.84","40,135.98","38,261.99","34,832.35","32,230.18","30,177.98","28,249.56","26,207.97","24,490.61","22,699.14","20,118.02","18,453.67","16,383.41","14,868.19","13,478.05","12,098.71","10,853.39","9,987.16","9,167.35","8,380.64","7,779.89","7,175.14","6,655.16","6,281.33","5,897.27","5,376.59","4,901.03","4,494.05",-89.09%
Greece,"5,383.97","5,383.97","5,355.96","5,465.31","5,523.23","5,693.00","5,700.53","5,811.52","5,767.99","5,967.92","5,913.69","5,922.97","5,050.84","5,000.78","5,138.40","5,146.09","5,256.42","5,446.76","5,247.51","5,264.95","4,951.54","5,266.27","5,008.62","4,754.63","4,865.65","4,933.42","4,912.93","4,981.21","5,182.25","5,346.66","5,380.33","5,487.96","5,852.19",8.70%
Hungary,"3,563.66","4,086.33","4,171.40","4,217.60","4,270.77","4,310.75","4,358.69","4,370.38","4,422.27","4,472.05","4,539.16","4,612.39","4,612.22","4,690.48","4,737.80","4,698.44","4,657.06","4,598.12","4,591.37","4,542.45","4,576.22","4,547.85","4,368.91","4,407.51","4,199.38","4,080.46","3,944.23","3,809.44","3,830.41","3,800.65","3,788.03","3,762.46","3,733.37",4.76%
Iceland,243.59,243.59,252.36,266.28,281.33,287.62,301.01,316.74,325.06,315.91,323.88,336.27,345.34,358.74,352.51,355.66,339.76,367.02,370.45,350.90,336.90,334.49,313.50,292.56,302.87,289.15,289.49,274.62,269.98,280.20,241.11,265.65,268.48,10.22%
